id,day,slphrs,slpwell,weath,lteq,pss,se,ssgs_shame,ssgs_guilt,swls,pc,enthusiastic,calm,nervous,sluggish,happy,peaceful,embarrassed,sad,alert,satisfied,upset,bored,proud,relaxed,stress,depressed,excited,content,tense,disappointed,ashamed,relieved,angry,pos_activ,pos_deact,neg_activ,neg_deact,pfi_auth,pfi_hubr,evalday,posaff,negaff,affbalance,temp,hum,wind,bar,prec
304,3,7,1,1,35,3.25,4,1,1.4,4.6,4.333333333,4,6,3,6,6,6,1,1,2,4,1,2,1,4,1,1,1,3,1,1,1,1,1,2.8,4.6,1.4,2.2,2.285714286,1,0,3.7,1.8,1.9,39,0.8,8,30.07,0.29
304,4,7,2,4,44,4,4,1,1,7,5,7,4,1,1,7,4,1,1,4,6,1,2,4,3,1,1,6,4,1,1,1,2,1,5.6,4.2,1,1.2,4,1,1,4.9,1.1,3.8,44,0.79,6,29.93,0
304,5,5,0,2,20,3.5,4,1,1,6,4.333333333,5,2,1,4,5,3,1,1,1,3,1,1,1,4,1,1,5,1,1,1,1,1,1,3.4,2.6,1,1.6,2.285714286,1,1,3,1.3,1.7,47,0.86,3,29.95,0.04
304,6,8,2,0,6,3.25,4,1,1,3.4,3.833333333,2,4,1,6,3,4,1,1,1,3,1,4,1,5,1,1,2,3,1,1,1,2,1,1.8,3.8,1,2.6,1.714285714,1,1,2.8,1.8,1,48,0.9,10,29.54,0.12
304,7,5,2,0,6,2.75,4,1,1,3.6,4.666666667,1,3,1,4,4,4,1,1,1,3,1,1,1,3,1,1,3,5,1,1,1,1,1,2,3.6,1,1.6,2.142857143,1,1,2.8,1.3,1.5,36,0.74,18,29.71,0
305,0,9,3,2,0,2.75,4,1,1,3.2,5.666666667,4,4,2,6,5,4,1,1,2,3,1,5,2,5,2,1,3,5,1,1,1,1,1,3.2,4.2,1.4,2.8,3.142857143,1,0,3.7,2.1,1.6,35,0.36,10,30.35,0
305,1,9,4,3,0,2.75,5,1,1,3.6,6,5,4,2,3,6,6,1,1,4,4,1,1,5,4,1,1,6,4,1,1,1,3,1,5.2,4.4,1.2,1.4,3.428571429,1,0,4.8,1.3,3.5,32,0.35,8,30.43,0
305,2,9,3,1,0,1.75,2,1.25,1.8,5,6.333333333,5,5,1,1,6,6,1,1,3,4,1,1,3,4,1,1,5,4,1,1,1,1,1,4.4,4.6,1,1,3.285714286,1,1,4.5,1,3.5,42,0.24,3,30.35,0
305,3,6,1,0,0,1.75,3,1.2,1,3.8,4.5,3,4,1,1,5,6,1,1,1,4,1,1,1,5,1,2,3,3,2,1,3,1,1,2.6,4.4,1.2,1.2,2.714285714,1,1,3.5,1.2,2.3,39,0.8,8,30.07,0.29
305,4,5,1,3,0,2.25,3,1.8,2.4,2.2,4.166666667,4,3,2,4,5,5,2,2,3,3,4,2,4,2,4,2,4,4,1,1,1,1,1,4,3.4,2.6,2.2,3,1,1,3.7,2.4,1.3,44,0.79,6,29.93,0
305,5,6,1,2,0,2,1,2,2.6,2.6,5.5,5,5,2,4,5,5,2,2,3,4,2,2,2,5,2,2,3,3,1,1,1,1,1,3.6,4.4,1.8,2.2,2.714285714,1,1,4,2,2,47,0.86,3,29.95,0.04
305,6,8,4,1,0,1.75,2,2,1.6,4.2,3.833333333,5,5,1,1,3,4,1,1,3,4,1,1,1,3,2,1,4,4,1,1,1,1,1,3.2,4,1.2,1,2.571428571,1,1,3.6,1.1,2.5,48,0.9,10,29.54,0.12
305,7,10,4,4,0,2.25,4,1,1,4.8,4.333333333,5,5,1,1,4,4,1,1,1,4,1,1,1,3,4,1,3,5,1,1,1,1,1,2.8,4.2,1.6,1,2.857142857,1,0,3.5,1.3,2.2,36,0.74,18,29.71,0
306,0,10,4,2,9,3.5,2,1.2,3.2,5.8,6,4,6,1,3,6,6,2,1,4,7,2,1,4,6,3,1,4,7,1,1,3,3,2,4.4,6.4,1.8,1.4,3.142857143,1,0,5.4,1.6,3.8,35,0.36,10,30.35,0
306,1,9,4,2,3,2.5,3,1.4,3.8,4.4,5,3,3,1,1,4,4,1,3,3,4,3,1,1,4,2,1,5,5,1,1,1,2,4,3.2,4,1.6,1.4,2,1,1,3.6,1.5,2.1,32,0.35,8,30.43,0
306,2,10,3,1,3,2,3,1.6,3,2.2,2.833333333,1,2,2,1,2,2,1,4,2,1,4,2,1,2,5,2,1,3,6,3,1,1,6,1.4,2,3.6,2.4,1.142857143,1,1,1.7,3,-1.3,42,0.24,3,30.35,0
306,3,9,4,0,3,3.5,3,1.2,2.6,5.2,6,1,3,1,2,6,4,1,3,2,4,3,1,1,4,2,2,2,4,2,2,1,1,2,2.4,3.8,1.8,2,1.571428571,1,0,3.1,1.9,1.2,39,0.8,8,30.07,0.29
306,4,10,4,4,6,4,4,1,1.4,7,5.833333333,6,3,1,1,6,6,1,1,4,4,1,1,2,4,1,1,2,5,1,1,1,1,1,4,4.4,1,1,1.571428571,1,0,4.2,1,3.2,44,0.79,6,29.93,0
306,5,9,2,2,0,4,3,1.2,2,6.2,7,3,4,1,2,5,3,1,1,2,6,1,2,2,4,1,1,2,5,1,1,1,1,1,2.8,4.4,1,1.4,2,1,1,3.6,1.2,2.4,47,0.86,3,29.95,0.04
306,6,8,1,1,0,3.75,3,1,2.2,4.8,7,1,3,1,2,4,4,1,1,2,5,1,1,1,4,1,1,1,7,1,1,1,1,1,1.8,4.6,1,1.2,2,1,1,3.2,1.1,2.1,48,0.9,10,29.54,0.12
306,7,8,2,1,6,3.25,2,1.2,2.2,3.8,6.5,1,2,6,1,2,2,3,1,2,3,1,1,1,2,6,1,1,3,5,1,1,2,3,1.4,2.4,4.2,1,2,1,0,1.9,2.6,-0.7,36,0.74,18,29.71,0
307,0,8,2,3,9,2.75,3,1.6,1.6,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.36,10,30.35,0
307,1,7,2,3,14,3.25,3,1,1.8,4.2,4.333333333,4,5,2,3,5,5,1,1,2,5,1,6,4,4,2,1,3,5,2,1,2,1,3,3.6,4.8,1.6,2.4,3.428571429,1,1,4.2,2,2.2,32,0.35,8,30.43,0
307,2,8,3,2,9,3.5,3,1,1,5,5,4,4,5,4,5,5,1,1,1,4,1,5,2,3,2,1,3,4,1,1,1,1,1,3,4,2,2.4,3,1,1,3.5,2.2,1.3,42,0.24,3,30.35,0
307,3,8,3,3,0,3.5,2,1,1,4.2,5.166666667,3,3,1,3,3,3,1,2,2,3,1,4,2,3,1,2,3,3,1,1,1,1,1,2.6,3,1,2.4,2,1,1,2.8,1.7,1.1,39,0.8,8,30.07,0.29
307,4,8,3,0,9,3.5,3,1,1,6,5.5,6,4,1,2,6,3,1,1,1,4,1,2,2,3,1,1,6,6,1,1,1,3,1,4.2,4,1,1.4,2.142857143,1,1,4.1,1.2,2.9,44,0.79,6,29.93,0
307,5,6,2,0,0,3.5,2,1,1,4,4,4,4,2,2,4,4,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,2.6,2.8,1.2,1.2,1.857142857,1,1,2.7,1.2,1.5,47,0.86,3,29.95,0.04
307,6,5,2,0,0,3,2,1,1,3,3.333333333,1,4,1,3,3,3,1,4,1,2,4,1,2,2,1,4,2,2,1,1,1,1,1,1.8,2.6,1.6,2.6,1.857142857,1,1,2.2,2.1,0.1,48,0.9,10,29.54,0.12
307,7,7,1,0,9,2.25,2,1.2,1,4,4,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1.4,2,1.6,1.6,2,1,1,1.7,1.6,0.1,36,0.74,18,29.71,0
308,0,5,1,3,3,3,4,1,1.8,4.8,5.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.36,10,30.35,0
